city,date,temperature,humidity
Dallas,2004-03-18,21.88,30
San Jose,2004-03-18,16.75,52
New York,2004-03-19,17.44,32
Los Angeles,2004-03-19,19.77,39
Chicago,2004-03-19,19.46,50
Houston,2004-03-19,21.97,38
Phoenix,2004-03-19,25.96,15
Philadelphia,2004-03-19,19.34,31
San Antonio,2004-03-19,23.38,26
San Diego,2004-03-19,19.77,41
Dallas,2004-03-19,21.88,30
San Jose,2004-03-19,16.75,52
New York,2004-03-20,17.44,32
Los Angeles,2004-03-20,19.77,39
Chicago,2004-03-20,19.46,50
Houston,2004-03-20,21.97,38
Phoenix,2004-03-20,25.96,15
Philadelphia,2004-03-20,19.34,31
San Antonio,2004-03-20,23.38,26
San Diego,2004-03-20,19.77,41
Dallas,2004-03-20,21.88,30
San Jose,2004-03-20,16.75,52
New York,2004-03-21,17.44,32
Los Angeles,2004-03-21,19.77,39
Chicago,2004-03-21,19.46,50
Houston,2004-03-21,21.97,38
Phoenix,2004-03-21,25.96,15
Philadelphia,2004-03-21,19.34,31
San Antonio,2004-03-21,23.38,26
San Diego,2004-03-21,19.71,41
Dallas,2004-03-21,21.87,29
San Jose,2004-03-21,16.78,51
New York,2004-03-22,17.1,33
Los Angeles,2004-03-22,19.78,39
Chicago,2004-03-22,19.46,50
Houston,2004-03-22,21.97,38
Phoenix,2004-03-22,26.2,15
Philadelphia,2004-03-22,19.34,31
San Antonio,2004-03-22,23.38,26
San Diego,2004-03-22,19.71,41
Dallas,2004-03-22,21.87,29
San Jose,2004-03-22,16.78,51
New York,2004-03-23,17.1,33
Los Angeles,2004-03-23,19.78,39
Chicago,2004-03-23,19.46,50
Houston,2004-03-23,21.97,38
Phoenix,2004-03-23,26.2,15
Philadelphia,2004-03-23,19.34,31
San Antonio,2004-03-23,23.38,26
San Diego,2004-03-23,19.71,41
Dallas,2004-03-23,21.87,29
San Jose,2004-03-23,16.78,51
New York,2004-03-24,17.1,33
Los Angeles,2004-03-24,19.78,39
Chicago,2004-03-24,19.46,50
Houston,2004-03-24,21.97,38
Phoenix,2004-03-24,26.2,15
Philadelphia,2004-03-24,19.34,31
San Antonio,2004-03-24,23.38,26
San Diego,2004-03-24,19.71,41
Dallas,2004-03-24,21.87,29
San Jose,2004-03-24,16.78,51
New York,2004-03-25,17.1,33
Los Angeles,2004-03-25,19.78,39
Chicago,2004-03-25,19.46,50
Houston,2004-03-25,21.97,38
Phoenix,2004-03-25,26.2,15
Philadelphia,2004-03-25,19.34,31
San Antonio,2004-03-25,23.38,26
San Diego,2004-03-25,19.71,41
Dallas,2004-03-25,21.87,29
San Jose,2004-03-25,16.78,51
New York,2004-03-26,17.1,33
Los Angeles,2004-03-26,19.78,39
Chicago,2004-03-26,19.46,50
Houston,2004-03-26,21.97,38
Phoenix,2004-03-26,26.2,15
Philadelphia,2004-03-26,19.34,31
San Antonio,2004-03-26,23.38,26
San Diego,2004-03-26,19.71,41
Dallas,2004-03-26,21.87,29
San Jose,2004-03-26,16.78,51
New York,2004-03-27,17.1,33
Los Angeles,2004-03-27,19.78,39
Chicago,2004-03-27,19.46,50
Houston,2004-03-27,21.97,38
Phoenix,2004-03-27,26.2,15
Philadelphia,2004-03-27,19.34,31
San Antonio,2004-03-27,23.38,26
San Diego,2004-03-27,19.71,41
Dallas,2004-03-27,21.87,29
San Jose,2004-03-27,16.78,51
New York,2004-03-28,17.1,33
Los Angeles,2004-03-28,19.78,39
Chicago,2004-03-28,19.46,50
Houston,2004-03-28,21.97,38
Phoenix,2004-03-28,26.2,15
Philadelphia,2004-03-28,19.34,31
San Antonio,2004-03-28,23.38,26
San Diego,2004-03-28,19.71,41
Dallas,2004-03-28,21.87,29
San Jose,2004-03-28,16.78,51
New York,2004-03-29,17.1,33
Los Angeles,2004-03-29,19.78,39
Chicago,2004-03-29,19.46,50
Houston,2004-03-29,21.97,38
Phoenix,2004-03-29,26.2,15
Philadelphia,2004-03-29,19.34,31
San Antonio,2004-03-29,23.38,26
San Diego,2004-03-29,19.71,41
Dallas,2004-03-29,21.87,29
San Jose,2004-03-29,16.78,51
New York,2004-03-30,17.1,33
Los Angeles,2004-03-30,19.78,39
Chicago,2004-03-30,19.46,50
Houston,2004-03-30,21.97,38
Phoenix,2004-03-30,26.2,15
Philadelphia,2004-03-30,19.34,31
San Antonio,2004-03-30,23.38,26
San Diego,2004-03-30,19.71,41
Dallas,2004-03-30,21.87,29
San Jose,2004-03-30,16.78,51
New York,2004-03-31,17.1,33
Los Angeles,2004-03-31,19.78,39
Chicago,2004-03-31,19.46,50
Houston,2004-03-31,21.97,38
Phoenix,2004-03-31,26.2,15
Philadelphia,2004-03-31,19.34,31
San Antonio,2004-03-31,23.38,26
San Diego,2004-03-31,19.71,41
Dallas,2004-03-31,21.87,29
San Jose,2004-03-31,16.78,51
New York,2004-04-01,17.1,33
Los Angeles,2004-04-01,19.78,39
Chicago,2004-04-01,19.46,50
Houston,2004-04-01,21.97,38
Phoenix,2004-04-01,26.2,15
Philadelphia,2004-04-01,19.34,31
San Antonio,2004-04-01,23.38,26
San Diego,2004-04-01,19.71,41
Dallas,2004-04-01,21.87,29
San Jose,2004-04-01,16.78,51
New York,2004-04-02,17.1,33
Los Angeles,2004-04-02,19.78,39
Chicago,2004-04-02,19.46,50
Houston,2004-04-02,21.97,38
Phoenix,2004-04-02,26.2,15
Philadelphia,2004-04-02,19.34,31
San Antonio,2004-04-02,23.38,26
San Diego,2004-04-02,19.71,41
Dallas,2004-04-02,21.87,29
San Jose,2004-04-02,16.78,51
New York,2004-04-03,17.1,33
Los Angeles,2004-04-03,19.78,39
Chicago,2004-04-03,19.46,50
Houston,2004-04-03,21.97,38
Phoenix,2004-04-03,26.2,15
Philadelphia,2004-04-03,19.34,31
San Antonio,2004-04-03,23.38,26
San Diego,2004-04-03,19.71,41
Dallas,2004-04-03,21.87,29
San Jose,2004-04-03,16.78,51
New York,2004-04-04,17.1,33
Los Angeles,2004-04-04,19.78,39
Chicago,2004-04-04,19.46,50
Houston,2004-04-04,21.97,38
Phoenix,2004-04-04,26.2,15
Philadelphia,2004-04-04,19.34,31
San Antonio,2004-04-04,23.38,26
San Diego,2004-04-04,19.71,41
Dallas,2004-04-04,21.87,29
San Jose,2004-04-04,16.78,51
New York,2004-04-05,17.1,33
Los Angeles,2004-04-05,19.78,39
Chicago,2004-04-05,19.46,50
Houston,2004-04-05,21.97,38
Phoenix,2004-04-05,26.2,15
Philadelphia,2004-04-05,19.34,31
San Antonio,2004-04-05,23.38,26
San Diego,2004-04-05,19.71,41
Dallas,2004-04-05,21.87,29
San Jose,2004-04-05,16.78,51
New York,2004-04-06,17.1,33
Los Angeles,2004-04-06,19.78,39
Chicago,2004-04-06,19.46,50
Houston,2004-04-06,21.97,38
Phoenix,2004-04-06,26.2,15
Philadelphia,2004-04-06,19.34,31
San Antonio,2004-04-06,23.38,26
San Diego,2004-04-06,19.71,41
Dallas,2004-04-06,21.87,29
San Jose,2004-04-06,16.78,51
New York,2004-04-07,16.98,33
Los Angeles,2004-04-07,19.78,39
Chicago,2004-04-07,19.46,50
Houston,2004-04-07,21.97,38
Phoenix,2004-04-07,26.2,15
Philadelphia,2004-04-07,19.34,31
San Antonio,2004-04-07,23.38,26
San Diego,2004-04-07,19.71,41
Dallas,2004-04-07,21.87,29
San Jose,2004-04-07,16.78,51
New York,2004-04-08,16.98,33
Los Angeles,2004-04-08,19.78,39
Chicago,2004-04-08,19.46,50
Houston,2004-04-08,21.97,38
Phoenix,2004-04-08,26.2,15
Philadelphia,2004-04-08,19.34,31
San Antonio,2004-04-08,23.38,26
San Diego,2004-04-08,19.71,41
Dallas,2004-04-08,21.87,29
San Jose,2004-04-08,16.78,51
New York,2004-04-09,16.98,33
Los Angeles,2004-04-09,19.78,39
Chicago,2004-04-09,19.46,50
Houston,2004-04-09,21.97,38
Phoenix,2004-04-09,26.2,15
Philadelphia,2004-04-09,19.34,31
San Antonio,2004-04-09,23.38,26
San Diego,2004-04-09,19.71,41
Dallas,2004-04-09,21.87,29
San Jose,2004-04-09,16.78,51
New York,2004-04-10,16.98,33
Los Angeles,2004-04-10,19.78,39
Chicago,2004-04-10,19.46,50
Houston,2004-04-10,21.97,38
Phoenix,2004-04-10,26.2,15
Philadelphia,2004-04-10,19.34,31
San Antonio,2004-04-10,23.38,26
San Diego,2004-04-10,19.71,41
Dallas,2004-04-10,21.87,29
San Jose,2004-04-10,16.78,51
New York,2004-04-11,16.98,33
Los Angeles,2004-04-11,19.78,39
Chicago,2004-04-11,19.46,50
Houston,2004-04-11,21.97,38
Phoenix,2004-04-11,26.2,15
Philadelphia,2004-04-11,19.34,31
San Antonio,2004-04-11,23.38,26
San Diego,2004-04-11,19.71,41
Dallas,2004-04-11,21.87,29
San Jose,2004-04-11,16.78,51
New York,2004-04-12,16.98,33
Los Angeles,2004-04-12,19.78,39
Chicago,2004-04-12,19.46,50
Houston,2004-04-12,21.97,38
Phoenix,2004-04-12,26.2,15
Philadelphia,2004-04-12,19.34,31
San Antonio,2004-04-12,23.38,26
San Diego,2004-04-12,19.71,41
Dallas,2004-04-12,21.87,29
San Jose,2004-04-12,16.78,51
New York,2004-04-13,16.98,33
Los Angeles,2004-04-13,19.78,39
Chicago,2004-04-13,19.46,50
Houston,2004-04-13,21.97,38
Phoenix,2004-04-13,26.2,15
Philadelphia,2004-04-13,19.34,31
San Antonio,2004-04-13,23.38,26
San Diego,2004-04-13,19.71,41
Dallas,2004-04-13,21.87,29
San Jose,2004-04-13,16.78,51
New York,2004-04-14,16.98,33
Los Angeles,2004-04-14,19.78,39
Chicago,2004-04-14,19.46,50
Houston,2004-04-14,21.97,38
Phoenix,2004-04-14,26.2,15
Philadelphia,2004-04-14,19.34,31
San Antonio,2004-04-14,23.38,26
San Diego,2004-04-14,19.71,41
Dallas,2004-04-14,21.87,29
San Jose,2004-04-14,16.78,51
New York,2004-04-15,16.98,33
Los Angeles,2004-04-15,19.78,39
Chicago,2004-04-15,19.46,50
Houston,2004-04-15,21.97,38
Phoenix,2004-04-15,26.2,15
Philadelphia,2004-04-15,19.34,31
San Antonio,2004-04-15,23.38,26
San Diego,2004-04-15,19.71,41
Dallas,2004-04-15,21.87,29
San Jose,2004-04-15,16.78,51
New York,2004-04-16,16.98,33
Los Angeles,2004-04-16,19.78,39
Chicago,2004-04-16,19.46,50
Houston,2004-04-16,21.97,38
Phoenix,2004-04-16,26.2,15
Philadelphia,2004-04-16,19.34,31
San Antonio,2004-04-16,23.38,26
San Diego,2004-04-16,19.77,41
Dallas,2004-04-16,22.08,30
San Jose,2004-04-16,16.75,52
New York,2004-04-17,17.01,33
Los Angeles,2004-04-17,19.77,39
Chicago,2004-04-17,19.29,51
Houston,2004-04-17,21.97,38
Phoenix,2004-04-17,26.35,15
Philadelphia,2004-04-17,19.34,31
San Antonio,2004-04-17,23.38,26
San Diego,2004-04-17,19.77,41
Dallas,2004-04-17,22.08,30
San Jose,2004-04-17,16.75,52
New York,2004-04-18,17.01,33
Los Angeles,2004-04-18,19.77,39
Chicago,2004-04-18,19.29,51
Houston,2004-04-18,21.97,38
Phoenix,2004-04-18,26.35,15
Philadelphia,2004-04-18,19.34,31
San Antonio,2004-04-18,23.38,26
San Diego,2004-04-18,19.77,41
Dallas,2004-04-18,22.08,30
San Jose,2004-04-18,16.75,52
New York,2004-04-19,17.01,33
Los Angeles,2004-04-19,19.77,39
Chicago,2004-04-19,19.29,51
Houston,2004-04-19,21.97,38
Phoenix,2004-04-19,26.35,15
Philadelphia,2004-04-19,19.34,31
San Antonio,2004-04-19,23.38,26
San Diego,2004-04-19,19.77,41
Dallas,2004-04-19,22.08,30
San Jose,2004-04-19,16.75,52
New York,2004-04-20,17.01,33
Los Angeles,2004-04-20,19.77,39
Chicago,2004-04-20,19.29,51
Houston,2004-04-20,21.97,38
Phoenix,2004-04-20,26.35,15
Philadelphia,2004-04-20,19.34,31
San Antonio,2004-04-20,23.38,26
San Diego,2004-04-20,19.77,41
Dallas,2004-04-20,22.08,30
San Jose,2004-04-20,16.75,52
New York,2004-04-21,17.01,33
Los Angeles,2004-04-21,19.77,39
Chicago,2004-04-21,19.29,51
Houston,2004-04-21,21.97,38
Phoenix,2004-04-21,26.35,15
Philadelphia,2004-04-21,19.34,31
San Antonio,2004-04-21,23.38,26
San Diego,2004-04-21,19.77,41
Dallas,2004-04-21,22.08,30
San Jose,2004-04-21,16.85,51
New York,2004-04-22,17.05,34
Los Angeles,2004-04-22,19.86,38
Chicago,2004-04-22,19.29,51
Houston,2004-04-22,22.11,38
Phoenix,2004-04-22,26.19,15
Philadelphia,2004-04-22,19.36,31
San Antonio,2004-04-22,23.22,25
San Diego,2004-04-22,19.69,41
Dallas,2004-04-22,22.08,30
San Jose,2004-04-22,16.85,51
New York,2004-04-23,17.05,34
Los Angeles,2004-04-23,19.86,38
Chicago,2004-04-23,19.29,51
Houston,2004-04-23,22.11,38
Phoenix,2004-04-23,26.19,15
Philadelphia,2004-04-23,19.36,31
San Antonio,2004-04-23,23.22,25
San Diego,2004-04-23,19.69,41
Dallas,2004-04-23,22.08,30
San Jose,2004-04-23,16.85,51
New York,2004-04-24,17.05,34
Los Angeles,2004-04-24,19.86,38
Chicago,2004-04-24,19.29,51
Houston,2004-04-24,22.11,38
Phoenix,2004-04-24,26.19,15
Philadelphia,2004-04-24,19.36,31
San Antonio,2004-04-24,23.22,25
San Diego,2004-04-24,19.69,41
Dallas,2004-04-24,22.08,30
San Jose,2004-04-24,16.85,51
New York,2004-04-25,17.05,34
Los Angeles,2004-04-25,19.86,38
Chicago,2004-04-25,19.29,51
Houston,2004-04-25,22.11,38
Phoenix,2004-04-25,26.19,15
Philadelphia,2004-04-25,19.36,31
San Antonio,2004-04-25,23.22,25
San Diego,2004-04-25,19.69,41
Dallas,2004-04-25,22.08,30
San Jose,2004-04-25,16.85,51
New York,2004-04-26,17.05,34
Los Angeles,2004-04-26,19.86,38
Chicago,2004-04-26,19.29,51
Houston,2004-04-26,22.11,38
Phoenix,2004-04-26,26.19,15
Philadelphia,2004-04-26,19.36,31
San Antonio,2004-04-26,23.22,25
San Diego,2004-04-26,19.69,41
Dallas,2004-04-26,22.08,30
San Jose,2004-04-26,16.85,51
New York,2004-04-27,17.05,34
Los Angeles,2004-04-27,19.86,38
Chicago,2004-04-27,19.29,51
Houston,2004-04-27,22.11,38
Phoenix,2004-04-27,26.19,15
Philadelphia,2004-04-27,19.36,31
San Antonio,2004-04-27,23.22,25
San Diego,2004-04-27,19.69,41
Dallas,2004-04-27,22.08,30
San Jose,2004-04-27,16.85,51
New York,2004-04-28,17.05,34
Los Angeles,2004-04-28,19.86,38
Chicago,2004-04-28,19.29,51
Houston,2004-04-28,22.11,38
Phoenix,2004-04-28,26.19,15
Philadelphia,2004-04-28,19.36,31
San Antonio,2004-04-28,23.22,25
San Diego,2004-04-28,19.69,41
Dallas,2004-04-28,22.08,30
San Jose,2004-04-28,16.85,51
New York,2004-04-29,17.05,34
Los Angeles,2004-04-29,19.86,38
Chicago,2004-04-29,19.29,51
Houston,2004-04-29,22.11,38
Phoenix,2004-04-29,26.19,15
Philadelphia,2004-04-29,19.36,31
San Antonio,2004-04-29,23.22,25
San Diego,2004-04-29,19.69,41
Dallas,2004-04-29,22.08,30
San Jose,2004-04-29,16.85,51
New York,2004-04-30,17.05,34
Los Angeles,2004-04-30,19.86,38
Chicago,2004-04-30,19.29,51
Houston,2004-04-30,22.11,38
Phoenix,2004-04-30,26.19,15
Philadelphia,2004-04-30,19.36,31
San Antonio,2004-04-30,23.22,25
San Diego,2004-04-30,19.69,41
Dallas,2004-04-30,22.08,30
San Jose,2004-04-30,16.85,51
New York,2004-05-01,17.05,34
Los Angeles,2004-05-01,19.86,38
Chicago,2004-05-01,19.29,51
Houston,2004-05-01,22.11,38
Phoenix,2004-05-01,26.19,15
Philadelphia,2004-05-01,19.36,31
San Antonio,2004-05-01,23.22,25
San Diego,2004-05-01,19.69,41
Dallas,2004-05-01,22.08,30
San Jose,2004-05-01,16.85,51
New York,2004-05-02,17.05,34
Los Angeles,2004-05-02,19.86,38
Chicago,2004-05-02,19.29,51
Houston,2004-05-02,22.11,38
Phoenix,2004-05-02,26.19,15
Philadelphia,2004-05-02,19.36,31
San Antonio,2004-05-02,23.22,25
San Diego,2004-05-02,19.69,41
Dallas,2004-05-02,22.08,30
San Jose,2004-05-02,16.85,51
New York,2004-05-03,17.05,34
Los Angeles,2004-05-03,19.86,38
Chicago,2004-05-03,19.29,51
Houston,2004-05-03,22.11,38
Phoenix,2004-05-03,26.19,15
Philadelphia,2004-05-03,19.36,31
San Antonio,2004-05-03,23.22,25
San Diego,2004-05-03,19.69,41
Dallas,2004-05-03,22.08,30
San Jose,2004-05-03,16.85,51
New York,2004-05-04,17.05,34
Los Angeles,2004-05-04,19.86,38
Chicago,2004-05-04,19.29,51
Houston,2004-05-04,22.11,38
Phoenix,2004-05-04,26.19,15
Philadelphia,2004-05-04,19.36,31
San Antonio,2004-05-04,23.22,25
San Diego,2004-05-04,19.69,41
Dallas,2004-05-04,22.08,30
San Jose,2004-05-04,16.89,51
New York,2004-05-05,17.01,33
Los Angeles,2004-05-05,19.87,38
Chicago,2004-05-05,19.29,51
Houston,2004-05-05,22.11,38
Phoenix,2004-05-05,26.35,15
Philadelphia,2004-05-05,19.37,31
San Antonio,2004-05-05,23.29,26
San Diego,2004-05-05,19.92,40
Dallas,2004-05-05,22.08,30
San Jose,2004-05-05,16.89,51
New York,2004-05-06,17.01,33
Los Angeles,2004-05-06,19.87,38
Chicago,2004-05-06,19.29,51
Houston,2004-05-06,22.11,38
Phoenix,2004-05-06,26.35,15
Philadelphia,2004-05-06,19.37,31
San Antonio,2004-05-06,23.29,26
San Diego,2004-05-06,19.92,40
Dallas,2004-05-06,22.08,30
San Jose,2004-05-06,16.89,51
New York,2004-05-07,17.01,33
Los Angeles,2004-05-07,19.87,38
Chicago,2004-05-07,19.29,51
Houston,2004-05-07,22.11,38
Phoenix,2004-05-07,26.35,15
Philadelphia,2004-05-07,19.37,31
San Antonio,2004-05-07,23.29,26
San Diego,2004-05-07,19.92,40
Dallas,2004-05-07,22.08,30
San Jose,2004-05-07,16.89,51
New York,2004-05-08,17.01,33
Los Angeles,2004-05-08,19.87,38
Chicago,2004-05-08,19.29,51
Houston,2004-05-08,22.11,38
Phoenix,2004-05-08,26.35,15
Philadelphia,2004-05-08,19.37,31
San Antonio,2004-05-08,23.29,26
San Diego,2004-05-08,19.92,40
Dallas,2004-05-08,22.08,30
San Jose,2004-05-08,16.89,51
