date,city,temperature,humidity
2004-03-19,San Jose,16.75,52
2004-03-20,Chicago,19.46,50
2004-03-20,Dallas,21.88,30
2004-03-20,Houston,21.97,38
2004-03-20,Los Angeles,19.77,39
2004-03-20,New York,17.44,32
2004-03-20,Philadelphia,19.34,31
2004-03-20,Phoenix,25.96,15
2004-03-20,San Antonio,23.38,26
2004-03-20,San Diego,19.77,41
2004-03-20,San Jose,16.75,52
2004-03-21,Chicago,19.46,50
2004-03-21,Dallas,21.87,29
2004-03-21,Houston,21.97,38
2004-03-21,Los Angeles,19.77,39
2004-03-21,New York,17.44,32
2004-03-21,Philadelphia,19.34,31
2004-03-21,Phoenix,25.96,15
2004-03-21,San Antonio,23.38,26
2004-03-21,San Diego,19.71,41
2004-03-21,San Jose,16.78,51
2004-03-22,Chicago,19.46,50
2004-03-22,Dallas,21.87,29
2004-03-22,Houston,21.97,38
2004-03-22,Los Angeles,19.78,39
2004-03-22,New York,17.1,33
2004-03-22,Philadelphia,19.34,31
2004-03-22,San Antonio,23.38,26
2004-03-22,San Diego,19.71,41
2004-03-22,San Jose,16.78,51
2004-03-23,Chicago,19.46,50
2004-03-23,Dallas,21.87,29
2004-03-23,Houston,21.97,38
2004-03-23,Los Angeles,19.78,39
2004-03-23,New York,17.1,33
2004-03-23,Philadelphia,19.34,31
2004-03-23,San Antonio,23.38,26
2004-03-23,San Diego,19.71,41
2004-03-23,San Jose,16.78,51
2004-03-24,Chicago,19.46,50
2004-03-24,Dallas,21.87,29
2004-03-24,Houston,21.97,38
2004-03-24,Los Angeles,19.78,39
2004-03-24,New York,17.1,33
2004-03-24,Philadelphia,19.34,31
2004-03-24,San Antonio,23.38,26
2004-03-24,San Diego,19.71,41
2004-03-24,San Jose,16.78,51
2004-03-25,Chicago,19.46,50
2004-03-25,Dallas,21.87,29
2004-03-25,Houston,21.97,38
2004-03-25,Los Angeles,19.78,39
2004-03-25,New York,17.1,33
2004-03-25,Philadelphia,19.34,31
2004-03-25,San Antonio,23.38,26
2004-03-25,San Diego,19.71,41
2004-03-25,San Jose,16.78,51
2004-03-26,Chicago,19.46,50
2004-03-26,Dallas,21.87,29
2004-03-26,Houston,21.97,38
2004-03-26,Los Angeles,19.78,39
2004-03-26,New York,17.1,33
2004-03-26,Philadelphia,19.34,31
2004-03-26,San Antonio,23.38,26
2004-03-26,San Diego,19.71,41
2004-03-26,San Jose,16.78,51
2004-03-27,Chicago,19.46,50
2004-03-27,Dallas,21.87,29
2004-03-27,Houston,21.97,38
2004-03-27,Los Angeles,19.78,39
2004-03-27,New York,17.1,33
2004-03-27,Philadelphia,19.34,31
2004-03-27,San Antonio,23.38,26
2004-03-27,San Diego,19.71,41
2004-03-27,San Jose,16.78,51
2004-03-28,Chicago,19.46,50
2004-03-28,Dallas,21.87,29
2004-03-28,Houston,21.97,38
2004-03-28,Los Angeles,19.78,39
2004-03-28,New York,17.1,33
2004-03-28,Philadelphia,19.34,31
2004-03-28,San Antonio,23.38,26
2004-03-28,San Diego,19.71,41
2004-03-28,San Jose,16.78,51
2004-03-29,Chicago,19.46,50
2004-03-29,Dallas,21.87,29
2004-03-29,Houston,21.97,38
2004-03-29,Los Angeles,19.78,39
2004-03-29,New York,17.1,33
2004-03-29,Philadelphia,19.34,31
2004-03-29,San Antonio,23.38,26
2004-03-29,San Diego,19.71,41
2004-03-29,San Jose,16.78,51
2004-03-30,Chicago,19.46,50
2004-03-30,Dallas,21.87,29
2004-03-30,Houston,21.97,38
2004-03-30,Los Angeles,19.78,39
2004-03-30,New York,17.1,33
2004-03-30,Philadelphia,19.34,31
2004-03-30,San Antonio,23.38,26
2004-03-30,San Diego,19.71,41
2004-03-30,San Jose,16.78,51
2004-03-31,Chicago,19.46,50
2004-03-31,Dallas,21.87,29
2004-03-31,Houston,21.97,38
2004-03-31,Los Angeles,19.78,39
2004-03-31,New York,17.1,33
2004-03-31,Philadelphia,19.34,31
2004-03-31,San Antonio,23.38,26
2004-03-31,San Diego,19.71,41
2004-03-31,San Jose,16.78,51
2004-04-01,Chicago,19.46,50
2004-04-01,Dallas,21.87,29
2004-04-01,Houston,21.97,38
2004-04-01,Los Angeles,19.78,39
2004-04-01,New York,17.1,33
2004-04-01,Philadelphia,19.34,31
2004-04-01,San Antonio,23.38,26
2004-04-01,San Diego,19.71,41
2004-04-01,San Jose,16.78,51
2004-04-02,Chicago,19.46,50
2004-04-02,Dallas,21.87,29
2004-04-02,Houston,21.97,38
2004-04-02,Los Angeles,19.78,39
2004-04-02,New York,17.1,33
2004-04-02,Philadelphia,19.34,31
2004-04-02,San Antonio,23.38,26
2004-04-02,San Diego,19.71,41
2004-04-02,San Jose,16.78,51
2004-04-03,Chicago,19.46,50
2004-04-03,Dallas,21.87,29
2004-04-03,Houston,21.97,38
2004-04-03,Los Angeles,19.78,39
2004-04-03,New York,17.1,33
2004-04-03,Philadelphia,19.34,31
2004-04-03,San Antonio,23.38,26
2004-04-03,San Diego,19.71,41
2004-04-03,San Jose,16.78,51
2004-04-04,Chicago,19.46,50
2004-04-04,Dallas,21.87,29
2004-04-04,Houston,21.97,38
2004-04-04,Los Angeles,19.78,39
2004-04-04,New York,17.1,33
2004-04-04,Philadelphia,19.34,31
2004-04-04,San Antonio,23.38,26
2004-04-04,San Diego,19.71,41
2004-04-04,San Jose,16.78,51
2004-04-05,Chicago,19.46,50
2004-04-05,Dallas,21.87,29
2004-04-05,Houston,21.97,38
2004-04-05,Los Angeles,19.78,39
2004-04-05,New York,17.1,33
2004-04-05,Philadelphia,19.34,31
2004-04-05,San Antonio,23.38,26
2004-04-05,San Diego,19.71,41
2004-04-05,San Jose,16.78,51
2004-04-06,Chicago,19.46,50
2004-04-06,Dallas,21.87,29
2004-04-06,Houston,21.97,38
2004-04-06,Los Angeles,19.78,39
2004-04-06,New York,17.1,33
2004-04-06,Philadelphia,19.34,31
2004-04-06,San Antonio,23.38,26
2004-04-06,San Diego,19.71,41
2004-04-06,San Jose,16.78,51
2004-04-07,Chicago,19.46,50
2004-04-07,Dallas,21.87,29
2004-04-07,Houston,21.97,38
2004-04-07,Los Angeles,19.78,39
2004-04-07,New York,16.98,33
2004-04-07,Philadelphia,19.34,31
2004-04-07,San Antonio,23.38,26
2004-04-07,San Diego,19.71,41
2004-04-07,San Jose,16.78,51
2004-04-08,Chicago,19.46,50
2004-04-08,Dallas,21.87,29
2004-04-08,Houston,21.97,38
2004-04-08,Los Angeles,19.78,39
2004-04-08,New York,16.98,33
2004-04-08,Philadelphia,19.34,31
2004-04-08,San Antonio,23.38,26
2004-04-08,San Diego,19.71,41
2004-04-08,San Jose,16.78,51
2004-04-09,Chicago,19.46,50
2004-04-09,Dallas,21.87,29
2004-04-09,Houston,21.97,38
2004-04-09,Los Angeles,19.78,39
2004-04-09,New York,16.98,33
2004-04-09,Philadelphia,19.34,31
2004-04-09,San Antonio,23.38,26
2004-04-09,San Diego,19.71,41
2004-04-09,San Jose,16.78,51
2004-04-10,Chicago,19.46,50
2004-04-10,Dallas,21.87,29
2004-04-10,Houston,21.97,38
2004-04-10,Los Angeles,19.78,39
2004-04-10,New York,16.98,33
2004-04-10,Philadelphia,19.34,31
2004-04-10,San Antonio,23.38,26
2004-04-10,San Diego,19.71,41
2004-04-10,San Jose,16.78,51
2004-04-11,Chicago,19.46,50
2004-04-11,Dallas,21.87,29
2004-04-11,Houston,21.97,38
2004-04-11,Los Angeles,19.78,39
2004-04-11,New York,16.98,33
2004-04-11,Philadelphia,19.34,31
2004-04-11,San Antonio,23.38,26
2004-04-11,San Diego,19.71,41
2004-04-11,San Jose,16.78,51
2004-04-12,Chicago,19.46,50
2004-04-12,Dallas,21.87,29
2004-04-12,Houston,21.97,38
2004-04-12,Los Angeles,19.78,39
2004-04-12,New York,16.98,33
2004-04-12,Philadelphia,19.34,31
2004-04-12,San Antonio,23.38,26
2004-04-12,San Diego,19.71,41
2004-04-12,San Jose,16.78,51
2004-04-13,Chicago,19.46,50
2004-04-13,Dallas,21.87,29
2004-04-13,Houston,21.97,38
2004-04-13,Los Angeles,19.78,39
2004-04-13,New York,16.98,33
2004-04-13,Philadelphia,19.34,31
2004-04-13,San Antonio,23.38,26
2004-04-13,San Diego,19.71,41
2004-04-13,San Jose,16.78,51
2004-04-14,Chicago,19.46,50
2004-04-14,Dallas,21.87,29
2004-04-14,Houston,21.97,38
2004-04-14,Los Angeles,19.78,39
2004-04-14,New York,16.98,33
2004-04-14,Philadelphia,19.34,31
2004-04-14,San Antonio,23.38,26
2004-04-14,San Diego,19.71,41
2004-04-14,San Jose,16.78,51
2004-04-15,Chicago,19.46,50
2004-04-15,Dallas,21.87,29
2004-04-15,Houston,21.97,38
2004-04-15,Los Angeles,19.78,39
2004-04-15,New York,16.98,33
2004-04-15,Philadelphia,19.34,31
2004-04-15,San Antonio,23.38,26
2004-04-15,San Diego,19.71,41
2004-04-15,San Jose,16.78,51
2004-04-16,Chicago,19.46,50
2004-04-16,Dallas,22.08,30
2004-04-16,Houston,21.97,38
2004-04-16,Los Angeles,19.78,39
2004-04-16,New York,16.98,33
2004-04-16,Philadelphia,19.34,31
2004-04-16,San Antonio,23.38,26
2004-04-16,San Diego,19.77,41
2004-04-16,San Jose,16.75,52
2004-04-17,Chicago,19.29,51
2004-04-17,Dallas,22.08,30
2004-04-17,Houston,21.97,38
2004-04-17,Los Angeles,19.77,39
2004-04-17,New York,17.01,33
2004-04-17,Philadelphia,19.34,31
2004-04-17,San Antonio,23.38,26
2004-04-17,San Diego,19.77,41
2004-04-17,San Jose,16.75,52
2004-04-18,Chicago,19.29,51
2004-04-18,Dallas,22.08,30
2004-04-18,Houston,21.97,38
2004-04-18,Los Angeles,19.77,39
2004-04-18,New York,17.01,33
2004-04-18,Philadelphia,19.34,31
2004-04-18,San Antonio,23.38,26
2004-04-18,San Diego,19.77,41
2004-04-18,San Jose,16.75,52
2004-04-19,Chicago,19.29,51
2004-04-19,Dallas,22.08,30
2004-04-19,Houston,21.97,38
2004-04-19,Los Angeles,19.77,39
2004-04-19,New York,17.01,33
2004-04-19,Philadelphia,19.34,31
2004-04-19,San Antonio,23.38,26
2004-04-19,San Diego,19.77,41
2004-04-19,San Jose,16.75,52
2004-04-20,Chicago,19.29,51
2004-04-20,Dallas,22.08,30
2004-04-20,Houston,21.97,38
2004-04-20,Los Angeles,19.77,39
2004-04-20,New York,17.01,33
2004-04-20,Philadelphia,19.34,31
2004-04-20,San Antonio,23.38,26
2004-04-20,San Diego,19.77,41
2004-04-20,San Jose,16.75,52
2004-04-21,Chicago,19.29,51
2004-04-21,Dallas,22.08,30
2004-04-21,Houston,21.97,38
2004-04-21,Los Angeles,19.77,39
2004-04-21,New York,17.01,33
2004-04-21,Philadelphia,19.34,31
2004-04-21,San Antonio,23.38,26
2004-04-21,San Diego,19.77,41
2004-04-21,San Jose,16.85,51
2004-04-22,Chicago,19.29,51
2004-04-22,Dallas,22.08,30
2004-04-22,Houston,22.11,38
2004-04-22,Los Angeles,19.86,38
2004-04-22,New York,17.05,34
2004-04-22,Philadelphia,19.36,31
2004-04-22,San Antonio,23.22,25
2004-04-22,San Diego,19.69,41
2004-04-22,San Jose,16.85,51
2004-04-23,Chicago,19.29,51
2004-04-23,Dallas,22.08,30
2004-04-23,Houston,22.11,38
2004-04-23,Los Angeles,19.86,38
2004-04-23,New York,17.05,34
2004-04-23,Philadelphia,19.36,31
2004-04-23,San Antonio,23.22,25
2004-04-23,San Diego,19.69,41
2004-04-23,San Jose,16.85,51
2004-04-24,Chicago,19.29,51
2004-04-24,Dallas,22.08,30
2004-04-24,Houston,22.11,38
2004-04-24,Los Angeles,19.86,38
2004-04-24,New York,17.05,34
2004-04-24,Philadelphia,19.36,31
2004-04-24,San Antonio,23.22,25
2004-04-24,San Diego,19.69,41
2004-04-24,San Jose,16.85,51
2004-04-25,Chicago,19.29,51
2004-04-25,Dallas,22.08,30
2004-04-25,Houston,22.11,38
2004-04-25,Los Angeles,19.86,38
2004-04-25,New York,17.05,34
2004-04-25,Philadelphia,19.36,31
2004-04-25,San Antonio,23.22,25
2004-04-25,San Diego,19.69,41
2004-04-25,San Jose,16.85,51
2004-04-26,Chicago,19.29,51
2004-04-26,Dallas,22.08,30
2004-04-26,Houston,22.11,38
2004-04-26,Los Angeles,19.86,38
2004-04-26,New York,17.05,34
2004-04-26,Philadelphia,19.36,31
2004-04-26,San Antonio,23.22,25
2004-04-26,San Diego,19.69,41
2004-04-26,San Jose,16.85,51
2004-04-27,Chicago,19.29,51
2004-04-27,Dallas,22.08,30
2004-04-27,Houston,22.11,38
2004-04-27,Los Angeles,19.86,38
2004-04-27,New York,17.05,34
2004-04-27,Philadelphia,19.36,31
2004-04-27,San Antonio,23.22,25
2004-04-27,San Diego,19.69,41
2004-04-27,San Jose,16.85,51
2004-04-28,Chicago,19.29,51
2004-04-28,Dallas,22.08,30
2004-04-28,Houston,22.11,38
2004-04-28,Los Angeles,19.86,38
2004-04-28,New York,17.05,34
2004-04-28,Philadelphia,19.36,31
2004-04-28,San Antonio,23.22,25
2004-04-28,San Diego,19.69,41
2004-04-28,San Jose,16.85,51
2004-04-29,Chicago,19.29,51
2004-04-29,Dallas,22.08,30
2004-04-29,Houston,22.11,38
2004-04-29,Los Angeles,19.86,38
2004-04-29,New York,17.05,34
2004-04-29,Philadelphia,19.36,31
2004-04-29,San Antonio,23.22,25
2004-04-29,San Diego,19.69,41
2004-04-29,San Jose,16.85,51
2004-04-30,Chicago,19.29,51
2004-04-30,Dallas,22.08,30
2004-04-30,Houston,22.11,38
2004-04-30,Los Angeles,19.86,38
2004-04-30,New York,17.05,34
2004-04-30,Philadelphia,19.36,31
2004-04-30,San Antonio,23.22,25
2004-04-30,San Diego,19.69,41
2004-04-30,San Jose,16.85,51
2004-05-01,Chicago,19.29,51
2004-05-01,Dallas,22.08,30
2004-05-01,Houston,22.11,38
2004-05-01,Los Angeles,19.86,38
2004-05-01,New York,17.05,34
2004-05-01,Philadelphia,19.36,31
2004-05-01,San Antonio,23.22,25
2004-05-01,San Diego,19.69,41
2004-05-01,San Jose,16.85,51
2004-05-02,Chicago,19.29,51
2004-05-02,Dallas,22.08,30
2004-05-02,Houston,22.11,38
2004-05-02,Los Angeles,19.86,38
2004-05-02,New York,17.05,34
2004-05-02,Philadelphia,19.36,31
2004-05-02,San Antonio,23.22,25
2004-05-02,San Diego,19.69,41
2004-05-02,San Jose,16.85,51
2004-05-03,Chicago,19.29,51
2004-05-03,Dallas,22.08,30
2004-05-03,Houston,22.11,38
2004-05-03,Los Angeles,19.86,38
2004-05-03,New York,17.05,34
2004-05-03,Philadelphia,19.36,31
2004-05-03,San Antonio,23.22,25
2004-05-03,San Diego,19.69,41
2004-05-03,San Jose,16.85,51
2004-05-04,Chicago,19.29,51
2004-05-04,Dallas,22.08,30
2004-05-04,Houston,22.11,38
2004-05-04,Los Angeles,19.86,38
2004-05-04,New York,17.05,34
2004-05-04,Philadelphia,19.36,31
2004-05-04,San Antonio,23.22,25
2004-05-04,San Diego,19.69,41
2004-05-04,San Jose,16.89,51
2004-05-05,Chicago,19.29,51
2004-05-05,Dallas,22.08,30
2004-05-05,Houston,22.11,38
2004-05-05,Los Angeles,19.87,38
2004-05-05,New York,17.01,33
2004-05-05,Philadelphia,19.37,31
2004-05-05,San Antonio,23.29,26
2004-05-05,San Diego,19.92,40
2004-05-05,San Jose,16.89,51
2004-05-06,Chicago,19.29,51
2004-05-06,Dallas,22.08,30
2004-05-06,Houston,22.11,38
2004-05-06,Los Angeles,19.87,38
2004-05-06,New York,17.01,33
2004-05-06,Philadelphia,19.37,31
2004-05-06,San Antonio,23.29,26
2004-05-06,San Diego,19.92,40
2004-05-06,San Jose,16.89,51
2004-05-07,Chicago,19.29,51
2004-05-07,Dallas,22.08,30
2004-05-07,Houston,22.11,38
2004-05-07,Los Angeles,19.87,38
2004-05-07,New York,17.01,33
2004-05-07,Philadelphia,19.37,31
2004-05-07,San Antonio,23.29,26
2004-05-07,San Diego,19.92,40
2004-05-07,San Jose,16.89,51
2004-05-08,Chicago,19.29,51
2004-05-08,Dallas,22.08,30
2004-05-08,Houston,22.11,38
2004-05-08,Los Angeles,19.87,38
2004-05-08,New York,17.01,33
2004-05-08,Philadelphia,19.37,31
2004-05-08,San Antonio,23.29,26
2004-05-08,San Diego,19.92,40
2004-05-08,San Jose,16.89,51
